Customer_ID,churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls
1,FALSE,128.0,FALSE,TRUE,25.0,265.1,110.0,45.1,197.4,99.0,16.8,244.7,91.0,11.0,10.0,3.0,2.7,1.0
2,FALSE,107.0,FALSE,TRUE,26.0,161.6,123.0,27.5,195.5,103.0,16.6,254.4,103.0,11.5,13.7,3.0,3.7,1.0
3,TRUE,65.0,FALSE,FALSE,0.0,129.1,137.0,22.0,228.5,83.0,19.4,208.8,111.0,9.4,12.7,6.0,3.4,4.0
4,FALSE,98.0,FALSE,TRUE,21.0,161.2,114.0,27.4,252.2,83.0,21.4,160.2,92.0,7.2,4.4,8.0,1.2,4.0
5,TRUE,133.0,FALSE,FALSE,0.0,277.3,138.0,47.1,228.4,117.0,19.4,117.3,103.0,5.3,12.8,4.0,3.5,2.0
6,FALSE,140.0,FALSE,FALSE,0.0,125.3,84.0,21.3,167.6,121.0,14.3,260.6,94.0,11.7,8.4,4.0,2.3,1.0
7,FALSE,93.0,FALSE,TRUE,32.0,138.1,91.0,23.5,167.3,72.0,14.2,238.9,115.0,10.8,6.8,3.0,1.8,2.0
8,FALSE,52.0,FALSE,TRUE,38.0,169.3,88.0,28.8,225.9,97.0,19.2,172.0,86.0,7.7,8.2,3.0,2.2,0.0
9,FALSE,64.0,FALSE,TRUE,27.0,201.3,101.0,34.2,143.8,89.0,12.2,150.2,127.0,6.8,12.3,3.0,3.3,1.0
10,FALSE,12.0,TRUE,FALSE,0.0,216.7,117.0,36.8,116.5,126.0,9.9,220.0,110.0,9.9,9.8,4.0,2.7,2.0
11,FALSE,48.0,FALSE,FALSE,0.0,190.4,92.0,32.4,317.5,85.0,27.0,133.4,113.0,6.0,8.3,4.0,2.2,2.0
12,FALSE,181.0,FALSE,FALSE,0.0,143.3,91.0,24.4,195.5,58.0,16.6,223.3,95.0,10.1,6.0,7.0,1.6,1.0
13,FALSE,168.0,FALSE,TRUE,42.0,97.4,57.0,16.6,203.6,98.0,17.3,173.9,124.0,7.8,11.4,2.0,3.1,2.0
14,FALSE,155.0,FALSE,FALSE,0.0,181.4,111.0,30.8,167.7,92.0,14.3,168.5,122.0,7.6,11.3,3.0,3.1,3.0
15,FALSE,108.0,FALSE,FALSE,0.0,178.3,137.0,30.3,189.0,76.0,16.1,129.1,102.0,5.8,14.6,5.0,3.9,0.0
16,FALSE,105.0,FALSE,FALSE,0.0,246.4,83.0,41.9,256.2,101.0,21.8,169.0,151.0,7.6,3.8,4.0,1.0,0.0
17,FALSE,11.0,FALSE,FALSE,0.0,143.4,130.0,24.4,289.4,50.0,24.6,194.0,100.0,8.7,9.7,6.0,2.6,2.0
18,FALSE,182.0,FALSE,FALSE,0.0,104.9,111.0,17.8,198.5,120.0,16.9,258.2,91.0,11.6,8.0,5.0,2.2,2.0
19,FALSE,104.0,FALSE,FALSE,0.0,156.2,93.0,26.6,193.0,54.0,16.4,222.7,94.0,10.0,13.1,5.0,3.5,1.0
20,FALSE,102.0,FALSE,FALSE,0.0,114.8,125.0,19.5,81.9,126.0,7.0,304.3,101.0,13.7,12.0,4.0,3.2,0.0
21,FALSE,122.0,FALSE,FALSE,0.0,232.5,96.0,39.5,205.5,120.0,17.5,213.7,91.0,9.6,11.9,2.0,3.2,0.0
22,FALSE,41.0,FALSE,FALSE,0.0,143.6,117.0,24.4,152.4,108.0,13.0,194.4,110.0,8.8,8.6,3.0,2.3,1.0
23,FALSE,132.0,FALSE,FALSE,0.0,176.7,132.0,30.0,244.1,80.0,20.8,176.3,120.0,7.9,9.1,4.0,2.5,2.0
24,TRUE,76.0,FALSE,FALSE,0.0,263.4,148.0,44.8,230.3,69.0,19.6,170.6,101.0,7.7,11.4,5.0,3.1,1.0
25,FALSE,13.0,FALSE,FALSE,0.0,146.4,74.0,24.9,148.5,92.0,12.6,216.7,96.0,9.8,11.3,3.0,3.1,1.0
26,FALSE,135.0,FALSE,FALSE,0.0,151.7,82.0,25.8,119.0,105.0,10.1,180.0,100.0,8.1,10.5,6.0,2.8,0.0
27,FALSE,115.0,FALSE,TRUE,33.0,145.0,72.0,24.7,194.5,157.0,16.5,242.3,138.0,10.9,14.2,3.0,3.8,2.0
28,FALSE,67.0,FALSE,FALSE,0.0,167.8,91.0,28.5,167.7,69.0,14.3,110.3,71.0,5.0,8.4,12.0,2.3,1.0
29,FALSE,154.0,FALSE,FALSE,0.0,166.9,99.0,28.4,154.9,97.0,13.2,189.4,89.0,8.5,7.2,5.0,1.9,0.0
30,FALSE,100.0,FALSE,FALSE,0.0,142.5,87.0,24.2,195.7,88.0,16.6,122.1,117.0,5.5,7.8,8.0,2.1,2.0
31,FALSE,146.0,TRUE,FALSE,0.0,133.0,65.0,22.6,262.8,93.0,22.3,214.3,128.0,9.6,11.2,3.0,3.0,1.0
32,FALSE,148.0,FALSE,TRUE,11.0,252.9,129.0,43.0,284.3,88.0,24.2,262.8,99.0,11.8,12.3,1.0,3.3,1.0
33,FALSE,67.0,FALSE,TRUE,28.0,95.0,94.0,16.2,291.2,73.0,24.8,159.6,114.0,7.2,10.0,2.0,2.7,2.0
