Factory_Name,Factory_Type,Product_Type,Brands,Occasion,Supplier_Group,City,State,Country,Total_Workers,Line_Workers,Percent_Female_Workers,Percent_Migrant_Workers
"A & K DESIGNS, INC.",FINISHED GOODS,APPAREL,NIKE,Collegiate,A & K DESIGNS,PORTLAND,OREGON,USA,108,94,0.70,0.00
A. FIRST VINA CO. LTD.,FINISHED GOODS,APPAREL,"NIKE, CONVERSE, HURLEY",,A. FIRST VINA CO. LTD.,BIEN HOA,DONG NAI,VIETNAM,1958,1844,0.88,0.06
"ACABADOS Y SERIGRAFIA, SA (ACSA)",FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,MIXCO,GUATEMALA,GUATEMALA,140,130,0.31,0.00
ADORA FOOTWEAR LIMITED,FINISHED GOODS,FOOTWEAR,CONVERSE,,HONG FU,TAM DIEP TOWN,NINH BINH PROVINCE.,VIETNAM,7678,6736,0.90,0.14
AIRTEX,FINISHED GOODS,EQUIPMENT,NIKE,,"STX, LLC",MINNEAPOLIS,MINNESOTA,USA,72,42,0.69,0.00
AJARA TEXTILE,FINISHED GOODS,APPAREL,NIKE,,MILTEKS,POTI,SAMEGRELO-ZEMO SVANETI,GEORGIA,631,624,0.99,0.00
ALL WELLS INTERNATIONAL,FINISHED GOODS,EQUIPMENT,NIKE,,ALL WELLS INTERNATIONAL,BA RIA,VUNG TAU PROVINCE,VIETNAM,5446,3685,0.80,0.48
ALMAXTEX TEKSTIL,FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,YESIM,BURSA,BURSA,TURKEY,2426,1658,0.48,0.00
ANDBRAVA SRL,FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,BUENOS AIRES ,BUENOS AIRES ,ARGENTINA,7,5,0.14,0.00
ANHUI COSMO SPORTING GOODS COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,ANHUI COSMO,LU'AN CITY,ANHUI,CHINA,366,304,0.89,0.00
ANIGER CALÇADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,FINISHED GOODS,FOOTWEAR,NIKE,,ANIGER,CAMPO BOM – RS,RS,BRAZIL,445,218,0.48,0.00
ANNIC LLC,FINISHED GOODS,APPAREL,NIKE,Collegiate,GILDAN,MASATEPE,,NICARAGUA,4011,3433,0.50,0.00
ANNORA VIETNAM FOOTWEAR,FINISHED GOODS,FOOTWEAR,"NIKE, CONVERSE",,HONG FU,TINH GIA DISTRICT,THAN HOA,VIETNAM,13722,11525,0.92,0.03
ANTLER FABRIC PRINTERS (PVT) LTD,FINISHED GOODS,APPAREL,NIKE,,MAS HOLDINGS,PILIYANDALA,SRI LANKA,SRI LANKA,903,603,0.43,0.00
ANVIL KNITWEAR HONDURAS,MATERIALS,MATERIALS,NIKE,,GILDAN,NACO QUIMISTAN,SANTA BARBARA,HONDURAS,,,0.00,0.00
ARTFX CONCORD,FINISHED GOODS,APPAREL,NIKE,Collegiate,TEGRA,CONCORD,NORTH CAROLINA,USA,114,106,0.52,0.08
ARTFX DALLAS,FINISHED GOODS,APPAREL,NIKE,Collegiate,TEGRA,WEST IRVING,TEXAS,USA,87,80,0.60,0.04
ARTFX INC,FINISHED GOODS,APPAREL,NIKE,Collegiate,TEGRA,NORFOLK,VIRGINIA,USA,534,496,0.35,0.08
